branch_id,branch_name,city,state,opened_date,ifsc_code
1,Pune Branch 1,Pune,Maharashtra,23-05-2016,BNK0000000
2,Bhopal Branch 2,Bhopal,Madhya Pradesh,13-01-2002,BNK0000001
3,Lucknow Branch 3,Lucknow,Uttar Pradesh,10-12-2017,BNK0000002
4,Kolkata Branch 4,Kolkata,West Bengal,04-05-2002,BNK0000003
5,Kolkata Branch 5,Kolkata,West Bengal,09-11-2005,BNK0000004
6,Kochi Branch 6,Kochi,Kerala,19-07-2011,BNK0000005
7,Pune Branch 7,Pune,Maharashtra,27-02-1998,BNK0000006
8,Chandigarh Branch 8,Chandigarh,Punjab,04-12-2008,BNK0000007
9,Bengaluru Branch 9,Bengaluru,Karnataka,17-08-2007,BNK0000008
10,Pune Branch 1,Pune,Maharashtra,06-08-2014,BNK0000009
11,Ahmedabad Branch 2,Ahmedabad,Gujarat,26-11-2019,BNK0000010
12,Indore Branch 3,Indore,Madhya Pradesh,10-08-2011,BNK0000011
13,Bhopal Branch 4,Bhopal,Madhya Pradesh,25-03-2005,BNK0000012
14,Bhopal Branch 5,Bhopal,Madhya Pradesh,27-02-2005,BNK0000013
15,Chandigarh Branch 6,Chandigarh,Punjab,13-06-2005,BNK0000014
16,Bhopal Branch 7,Bhopal,Madhya Pradesh,08-05-2015,BNK0000015
17,Ahmedabad Branch 8,Ahmedabad,Gujarat,12-01-2003,BNK0000016
18,Pune Branch 9,Pune,Maharashtra,05-03-1999,BNK0000017
19,Kochi Branch 1,Kochi,Kerala,11-05-2003,BNK0000018
20,Kolkata Branch 2,Kolkata,West Bengal,27-07-1995,BNK0000019
21,Ahmedabad Branch 3,Ahmedabad,Gujarat,27-08-1997,BNK0000020
22,Hyderabad Branch 4,Hyderabad,Telangana,02-04-1997,BNK0000021
23,Delhi Branch 5,Delhi,Delhi,16-04-2014,BNK0000022
24,Nagpur Branch 6,Nagpur,Maharashtra,21-01-2013,BNK0000023
25,Bhopal Branch 7,Bhopal,Madhya Pradesh,02-06-2012,BNK0000024
26,Lucknow Branch 8,Lucknow,Uttar Pradesh,19-07-2006,BNK0000025
27,Kolkata Branch 9,Kolkata,West Bengal,04-12-2012,BNK0000026
28,Kochi Branch 1,Kochi,Kerala,12-01-1999,BNK0000027
29,Jaipur Branch 2,Jaipur,Rajasthan,07-07-2017,BNK0000028
30,Kolkata Branch 3,Kolkata,West Bengal,12-07-2007,BNK0000029
31,Kolkata Branch 4,Kolkata,West Bengal,14-06-2018,BNK0000030
32,Bengaluru Branch 5,Bengaluru,Karnataka,22-10-1998,BNK0000031
33,Pune Branch 6,Pune,Maharashtra,08-06-2007,BNK0000032
34,Jaipur Branch 7,Jaipur,Rajasthan,29-05-2012,BNK0000033
35,Nagpur Branch 8,Nagpur,Maharashtra,23-05-2007,BNK0000034
36,Mumbai Branch 9,Mumbai,Maharashtra,25-02-2006,BNK0000035
37,Kochi Branch 1,Kochi,Kerala,26-02-1999,BNK0000036
38,Kochi Branch 2,Kochi,Kerala,20-12-2000,BNK0000037
39,Chennai Branch 3,Chennai,Tamil Nadu,16-07-2002,BNK0000038
40,Lucknow Branch 4,Lucknow,Uttar Pradesh,03-02-2012,BNK0000039
41,Delhi Branch 5,Delhi,Delhi,04-10-2010,BNK0000040
42,Bhopal Branch 6,Bhopal,Madhya Pradesh,07-03-2010,BNK0000041
43,Chandigarh Branch 7,Chandigarh,Punjab,17-01-2004,BNK0000042
44,Hyderabad Branch 8,Hyderabad,Telangana,28-12-2018,BNK0000043
45,Pune Branch 9,Pune,Maharashtra,11-03-1997,BNK0000044
46,Indore Branch 1,Indore,Madhya Pradesh,26-07-2003,BNK0000045
47,Kolkata Branch 2,Kolkata,West Bengal,13-12-1997,BNK0000046
48,Nagpur Branch 3,Nagpur,Maharashtra,22-06-2003,BNK0000047
49,Chandigarh Branch 4,Chandigarh,Punjab,18-01-2019,BNK0000048
50,Bhopal Branch 5,Bhopal,Madhya Pradesh,27-02-2004,BNK0000049
51,Bhopal Branch 6,Bhopal,Madhya Pradesh,18-09-2017,BNK0000050
52,Delhi Branch 7,Delhi,Delhi,18-05-2007,BNK0000051
53,Hyderabad Branch 8,Hyderabad,Telangana,29-06-2012,BNK0000052
54,Ahmedabad Branch 9,Ahmedabad,Gujarat,08-06-2006,BNK0000053
55,Ahmedabad Branch 1,Ahmedabad,Gujarat,24-08-2001,BNK0000054
56,Mumbai Branch 2,Mumbai,Maharashtra,08-02-2014,BNK0000055
57,Jaipur Branch 3,Jaipur,Rajasthan,25-03-2019,BNK0000056
58,Delhi Branch 4,Delhi,Delhi,03-08-2001,BNK0000057
59,Bhopal Branch 5,Bhopal,Madhya Pradesh,20-06-2014,BNK0000058
60,Chandigarh Branch 6,Chandigarh,Punjab,12-07-2001,BNK0000059
61,Nagpur Branch 7,Nagpur,Maharashtra,02-12-2012,BNK0000060
62,Bhopal Branch 8,Bhopal,Madhya Pradesh,22-09-2014,BNK0000061
63,Hyderabad Branch 9,Hyderabad,Telangana,27-03-2006,BNK0000062
64,Indore Branch 1,Indore,Madhya Pradesh,03-06-2013,BNK0000063
65,Kolkata Branch 2,Kolkata,West Bengal,21-10-2001,BNK0000064
66,Chennai Branch 3,Chennai,Tamil Nadu,24-12-1996,BNK0000065
67,Nagpur Branch 4,Nagpur,Maharashtra,30-05-1997,BNK0000066
68,Hyderabad Branch 5,Hyderabad,Telangana,05-03-2006,BNK0000067
69,Pune Branch 6,Pune,Maharashtra,25-07-2017,BNK0000068
